epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2024.61,1.23014,0.54065,1.14088,1,0.86492,0.97192,0.5117,1.67145,0.67013,1.2723,0.0009605,0.0009605,0.0009605
44,2072.37,1.2189,0.53789,1.13478,0.82676,1,0.95833,0.49351,1.78908,0.64721,1.27812,0.00093575,0.00093575,0.00093575
45,2119.45,1.20717,0.5314,1.13152,0.85618,0.7,0.88151,0.46206,1.6941,0.71079,1.26913,0.000911,0.000911,0.000911
46,2166.2,1.20828,0.53566,1.13287,0.96732,1,0.995,0.54432,1.62735,0.56249,1.27083,0.00088625,0.00088625,0.00088625
47,2213.27,1.20355,0.53102,1.12978,0.82306,1,0.92833,0.44871,1.80527,0.75004,1.33515,0.0008615,0.0008615,0.0008615
48,2260.44,1.19931,0.53075,1.12924,0.90209,1,0.96773,0.56291,1.66042,0.60152,1.26306,0.00083675,0.00083675,0.00083675
49,2307.28,1.19253,0.527,1.1248,0.89588,1,0.96773,0.49385,1.6448,0.60668,1.26541,0.000812,0.000812,0.000812
50,2354.1,1.19144,0.52285,1.12125,0.89639,0.9,0.97833,0.57007,1.556,0.51238,1.19978,0.00078725,0.00078725,0.00078725
51,2401.39,1.18333,0.51998,1.11914,0.89532,1,0.95864,0.49088,1.77136,0.58856,1.32033,0.0007625,0.0007625,0.0007625
52,2449.18,1.18364,0.51955,1.11939,0.90383,1,0.97682,0.53227,1.64414,0.55473,1.25334,0.00073775,0.00073775,0.00073775
53,2496.26,1.18301,0.52272,1.12015,0.82915,1,0.96167,0.48013,1.7628,0.61509,1.34349,0.000713,0.000713,0.000713
54,2542.88,1.17269,0.51558,1.11343,0.84511,1,0.97682,0.52668,1.71261,0.61242,1.28118,0.00068825,0.00068825,0.00068825
55,2590.34,1.17842,0.51908,1.11699,0.79606,1,0.9325,0.44154,1.73143,0.6955,1.31217,0.0006635,0.0006635,0.0006635
56,2638.04,1.17206,0.51773,1.1161,0.79997,1,0.95056,0.49685,1.77656,0.62828,1.27249,0.00063875,0.00063875,0.00063875
57,2684.69,1.15522,0.51103,1.10664,0.90031,1,0.96773,0.50182,1.79961,0.57087,1.315,0.000614,0.000614,0.000614
58,2731.93,1.15788,0.50918,1.10782,0.80536,0.9,0.92126,0.46833,1.83019,0.6414,1.41834,0.00058925,0.00058925,0.00058925
59,2779.56,1.15295,0.50709,1.10751,0.87952,1,0.94045,0.45164,1.74473,0.67949,1.31932,0.0005645,0.0005645,0.0005645
60,2826.65,1.15553,0.51033,1.10867,0.90729,0.98016,0.96773,0.49294,1.68867,0.63488,1.27367,0.00053975,0.00053975,0.00053975
61,2872.92,1.13934,0.50013,1.10024,0.81907,1,0.94833,0.47644,1.67298,0.59897,1.25992,0.000515,0.000515,0.000515
62,2920.95,1.1372,0.50073,1.10082,0.80375,1,0.945,0.50224,1.68802,0.60763,1.27797,0.00049025,0.00049025,0.00049025
63,2968.58,1.13865,0.50093,1.10333,0.8304,0.98062,0.93944,0.45923,1.78709,0.64806,1.34395,0.0004655,0.0004655,0.0004655
64,3015.57,1.12528,0.49608,1.09611,0.90669,1,0.96773,0.51045,1.66484,0.60245,1.25033,0.00044075,0.00044075,0.00044075
65,3062.76,1.12275,0.494,1.09373,0.90145,1,0.96773,0.52453,1.664,0.60823,1.29917,0.000416,0.000416,0.000416
66,3110.64,1.12814,0.49667,1.09524,0.7117,0.9,0.89643,0.42614,1.73938,0.69629,1.35644,0.00039125,0.00039125,0.00039125
