epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2909.45,1.13843,0.57411,1.14526,0.91443,0.86815,0.92035,0.57245,1.27495,0.66196,1.38132,0.000840286,0.000840286,0.000840286
43,2987.34,1.12365,0.56649,1.1392,0.89159,0.86699,0.91591,0.56949,1.27381,0.66899,1.37676,0.000812,0.000812,0.000812
44,3060.87,1.12289,0.56511,1.14238,0.8814,0.85527,0.90662,0.56086,1.28433,0.68998,1.3787,0.000783714,0.000783714,0.000783714
45,3138.46,1.12616,0.56513,1.14027,0.90716,0.8646,0.91432,0.56671,1.28822,0.67905,1.376,0.000755429,0.000755429,0.000755429
46,3213.67,1.12502,0.56557,1.1406,0.87994,0.88298,0.90963,0.56187,1.30698,0.69427,1.38558,0.000727143,0.000727143,0.000727143
47,3289.38,1.11667,0.55977,1.13691,0.89153,0.86847,0.91046,0.55159,1.35126,0.6897,1.41113,0.000698857,0.000698857,0.000698857
48,3364.98,1.11474,0.56067,1.13916,0.88223,0.87661,0.91705,0.57077,1.29715,0.6759,1.38524,0.000670571,0.000670571,0.000670571
49,3442.26,1.11668,0.55875,1.13807,0.89265,0.86267,0.9131,0.56212,1.29903,0.68384,1.39101,0.000642286,0.000642286,0.000642286
50,3516.11,1.11311,0.55787,1.13729,0.88645,0.87041,0.90966,0.55847,1.30257,0.68373,1.38626,0.000614,0.000614,0.000614
51,3587.04,1.10869,0.55539,1.13282,0.88898,0.87331,0.91442,0.56261,1.28554,0.68501,1.37202,0.000585714,0.000585714,0.000585714
52,3662.76,1.0996,0.54793,1.12932,0.89984,0.85106,0.91093,0.56378,1.31336,0.6734,1.394,0.000557429,0.000557429,0.000557429
53,3753.86,1.10084,0.55448,1.12948,0.87984,0.86557,0.90997,0.55875,1.29792,0.698,1.3768,0.000529143,0.000529143,0.000529143
54,3882.03,1.09891,0.5535,1.13035,0.89276,0.86952,0.90939,0.5638,1.2806,0.68211,1.37847,0.000500857,0.000500857,0.000500857
55,4004.6,1.09657,0.54817,1.12733,0.89315,0.87308,0.9153,0.56964,1.27818,0.67411,1.36927,0.000472571,0.000472571,0.000472571
56,4120.17,1.09573,0.54909,1.13048,0.8932,0.88158,0.91116,0.56584,1.29101,0.67154,1.38405,0.000444286,0.000444286,0.000444286
57,4227.89,1.09019,0.54464,1.12651,0.8979,0.86752,0.91316,0.56882,1.28421,0.67188,1.3766,0.000416,0.000416,0.000416
